average_voltage,current_A,current_B,current_C
(12333.150253904074+0j),(84.85714285714286+0j),(87-120j),(87.28571428571429+120j)
(12326.072954725163+0j),(84.92307692307692+0j),(86.84615384615384-120j),(87.07692307692308+120j)
(12328.959706071111+0j),(84.46153846153847+0j),(86.84615384615384-120j),(87.38461538461539+120j)
(12326.11736628433+0j),(84.53846153846153+0j),(86.92307692307692-120j),(87.61538461538461+120j)
(12314.097695020815+0j),(84.21428571428571+0j),(86.35714285714286-120j),(86.71428571428571+120j)
(12322.098120179588+0j),(83.85714285714286+0j),(86.35714285714286-120j),(86.64285714285714+120j)
(12315.458592083905+0j),(83.15384615384616+0j),(85.84615384615384-120j),(86.15384615384616+120j)
(12311.953251163826+0j),(83.28571428571429+0j),(85.28571428571429-120j),(86.5+120j)
(12313.548895039665+0j),(84.92307692307692+0j),(87.07692307692308-120j),(88.07692307692308+120j)
(12312.942994482439+0j),(85.28571428571429+0j),(87.85714285714286-120j),(88.42857142857143+120j)
(12310.209953273094+0j),(84.36363636363636+0j),(86.54545454545455-120j),(87.36363636363636+120j)
(12308.963401555522+0j),(83.5+0j),(85.83333333333333-120j),(86.16666666666667+120j)
(12311.070730038065+0j),(83.4+0j),(85.6-120j),(86+120j)
