time,building,gld_object,property,complex_value,double_value,anomaly
2022-09-15 18:35:00,main,msource,measured_power_A,(27.333527627045022+25.267493607677107j),N/A,1
2022-09-15 18:35:00,main,msource,measured_power_B,(8.80018377691109+24.133448519565725j),N/A,1
2022-09-15 18:35:00,main,msource,measured_power_C,(16.333218127304896+6.86688338499281j),N/A,1
2022-09-15 18:40:00,main,msource,measured_voltage_A,(12470.550336404376+0.10949217818148196j),N/A,1
2022-09-15 18:40:00,main,msource,measured_voltage_B,(-6235.245734938885-10799.842976722073j),N/A,1
2022-09-15 18:40:00,main,msource,measured_voltage_C,(-6235.357924522577+10799.910714863057j),N/A,1
2022-09-15 18:40:00,main,msource,measured_current_A,(0.002165138194981653-0.002036826682455528j),N/A,1
2022-09-15 18:40:00,main,msource,measured_current_B,(-0.0019986873667221516+0.0004193316271994263j),N/A,1
2022-09-15 18:40:00,main,msource,measured_current_C,(-0.00020367224351502955+0.0013577482604887336j),N/A,1
2022-09-15 18:40:00,main,msource,measured_power_A,(27.000241829200373+25.400586735790228j),N/A,1
2022-09-15 18:40:00,main,msource,measured_power_B,(7.933591149903365+24.20014546017757j),N/A,1
2022-09-15 18:40:00,main,msource,measured_power_C,(15.933529324145683+6.2664043304870045j),N/A,1
2022-09-15 18:45:00,main,msource,measured_voltage_A,(12470.550519417287+0.10942513124066457j),N/A,1
2022-09-15 18:45:00,main,msource,measured_voltage_B,(-6235.2454051694185-10799.843363958424j),N/A,1
2022-09-15 18:45:00,main,msource,measured_voltage_C,(-6235.358030476664+10799.910860851614j),N/A,1
2022-09-15 18:45:00,main,msource,measured_current_A,(0.002223934820050344-0.0019993987680766434j),N/A,1
2022-09-15 18:45:00,main,msource,measured_current_B,(-0.002122706064255908+0.0002687193045858294j),N/A,1
2022-09-15 18:45:00,main,msource,measured_current_C,(-0.00015043042367324233+0.0014687248039990664j),N/A,1
2022-09-15 18:45:00,main,msource,measured_power_A,(27.733472740856406+24.933846700120025j),N/A,1
2022-09-15 18:45:00,main,msource,measured_power_B,(10.33346683527812+24.600423810887587j),N/A,1
2022-09-15 18:45:00,main,msource,measured_power_C,(16.800084512590633+7.533389834744682j),N/A,1
2022-09-15 18:50:00,main,msource,measured_voltage_A,(12470.54938312362+0.10951620431156966j),N/A,1
2022-09-15 18:50:00,main,msource,measured_voltage_B,(-6235.246414528754-10799.842823034125j),N/A,1
2022-09-15 18:50:00,main,msource,measured_voltage_C,(-6235.3576938543265+10799.910593310591j),N/A,1
2022-09-15 18:50:00,main,msource,measured_current_A,(0.002272047805729205-0.0019459393854615037j),N/A,1
2022-09-15 18:50:00,main,msource,measured_current_B,(-0.002173674147343263+0.00013764292816631496j),N/A,1
2022-09-15 18:50:00,main,msource,measured_current_C,(-0.0001367243385175243+0.0015198293112916872j),N/A,1
2022-09-15 18:50:00,main,msource,measured_power_A,(28.333471250268392+24.26718202901461j),N/A,1
2022-09-15 18:50:00,main,msource,measured_power_B,(12.06687194367755+24.333576714134214j),N/A,1
2022-09-15 18:50:00,main,msource,measured_power_C,(17.266545835155423+8.00006875758915j),N/A,1
2022-09-15 18:55:00,main,msource,measured_voltage_A,(12470.55046768351+0.10988230356396729j),N/A,1
2022-09-15 18:55:00,main,msource,measured_voltage_B,(-6235.24550640948-10799.843338925739j),N/A,1
2022-09-15 18:55:00,main,msource,measured_voltage_C,(-6235.358117331993+10799.91061118208j),N/A,1
2022-09-15 18:55:00,main,msource,measured_current_A,(0.0023041067007123495-0.0020208172910041178j),N/A,1
2022-09-15 18:55:00,main,msource,measured_current_B,(-0.0021811138140037656+0.00025309418560937047j),N/A,1
2022-09-15 18:55:00,main,msource,measured_current_C,(-0.00019494109437800944+0.001492389856139198j),N/A,1
2022-09-15 18:55:00,main,msource,measured_power_A,(28.733256842102083+25.200957193986255j),N/A,1
2022-09-15 18:55:00,main,msource,measured_power_B,(10.866402553160428+25.133791879126672j),N/A,1
2022-09-15 18:55:00,main,msource,measured_power_C,(17.333204578569724+7.20023880997296j),N/A,1
2022-09-15 19:00:00,main,msource,measured_voltage_A,(12470.549469499318+0.1091852307124207j),N/A,1
2022-09-15 19:00:00,main,msource,measured_voltage_B,(-6235.246725411871-10799.843621861823j),N/A,1
2022-09-15 19:00:00,main,msource,measured_voltage_C,(-6235.3575086133615+10799.910785159955j),N/A,1
2022-09-15 19:00:00,main,msource,measured_current_A,(0.0023682735610097705-0.00202077382535637j),N/A,1
2022-09-15 19:00:00,main,msource,measured_current_B,(-0.0022185395209817216+0.00018827449821401387j),N/A,1
2022-09-15 19:00:00,main,msource,measured_current_C,(-0.00019461367628537118+0.0015666773833800107j),N/A,1
2022-09-15 19:00:00,main,msource,measured_power_A,(29.533451961223314+25.200418536271137j),N/A,1
2022-09-15 19:00:00,main,msource,measured_power_B,(11.799806144702249+25.13381784399032j),N/A,1
2022-09-15 19:00:00,main,msource,measured_power_C,(18.133461817336794+7.666983244579276j),N/A,1
2022-09-15 19:05:00,main,msource,measured_voltage_A,(12470.549792412048+0.10978578977439366j),N/A,1
